Id,Injured,Dead,Keywords,Causes,Consequences
4209,0,0,"operational activities, fin fan cooler, operator error, isolation inadequate, management system inadequate, near miss",,nearmiss
4210,0,0,near miss,,nearmiss
4211,1,0,"excavation damage, operator error, construction",,nearmiss
4212,0,0,fire - consequence,,nearmiss
4213,0,0,"inspection, contamination, near miss, installation inadequate",,nearmiss
4214,0,0,"pump failure, valve failure, damage to equipment, mechanical equipment failure",,nearmiss
4215,0,0,"operator error, spill",,nearmiss
4216,0,0,"gas / vapour release, vandalism, spill, storage tanks, near miss",,nearmiss
4217,0,0,"hydrogen cyanide, derailment - consequence, near miss, mechanical equipment failure",,"nearmiss, transport"
4218,0,0,"mechanical equipment failure, gas / vapour release, near miss",,nearmiss
4219,0,0,"unloading, spill, near miss, gas / vapour release, hose failure, valve failure, safety procedures inadequate",,nearmiss
4220,0,0,"normal operations, damage to equipment, near miss, mechanical equipment failure",,nearmiss
4221,0,0,"burns, near miss, mixing",,nearmiss
4222,0,0,"strong winds, near miss",,nearmiss
4223,0,0,"naphtha, air cooler, butterfly valve, near miss, design inadequate, water hammer",,nearmiss
4224,0,0,"material transfer, near miss, mechanical equipment failure",,nearmiss
4225,1,0,"spill, near miss",,nearmiss
4226,0,0,"commissioning, distillation, pressure vessel, near miss, incorrect equipment installed, inspection inadequate",,nearmiss
4227,0,0,"design or procedure error, near miss",,nearmiss
4228,0,0,"gate valve, near miss, hydrocarbons, design inadequate",,nearmiss
4229,0,0,"corrosion, construction, near miss, water",,nearmiss
4230,0,0,"welding, near miss, operation omitted, blind/spade/slip plate, purging, storage tanks, refrigeration unit",,nearmiss
4231,0,0,near miss,,nearmiss
4232,2,0,"entry into confined space, asphyxiation, toxic gas, safety procedures inadequate, management system inadequate, injury",,nearmiss
4233,0,0,"fire - consequence, processing",,nearmiss
4234,0,0,near miss,,nearmiss
4235,0,0,"electric shock, electrical",,nearmiss
4236,0,0,"gas / vapour release, level meter/control, instrumentation failure, near miss",,nearmiss
4237,0,0,flange failure,,nearmiss
4238,0,0,,,nearmiss
4239,0,0,"weld failure, inspection inadequate, tools & access equipment, near miss",,nearmiss
4240,0,0,"material transfer, low temperature, separation equipment, chemical - organic aniline",,nearmiss
4241,0,0,"overflow, near miss, processing",,nearmiss
4242,0,0,"material of construction failure, near miss",,nearmiss
4243,0,0,"spill, near miss, material transfer",,nearmiss
4244,0,0,"maintenance, mechanical equipment failure, near miss",,nearmiss
4245,1,0,near miss,,nearmiss
4246,0,0,"processing, near miss, high temperature",,nearmiss
4247,0,0,"flow rate too low, instrumentation failure, alarm failure, near miss",,nearmiss
4248,0,0,"mechanical equipment failure, maintenance, near miss",,nearmiss
4249,0,0,near miss,,nearmiss
4250,0,0,"near miss, safety procedures inadequate",,nearmiss
4251,0,0,"storage tanks, near miss, design or procedure error",,nearmiss
4252,0,0,,,nearmiss
4253,0,0,,,nearmiss
4254,0,0,caustic soda,,nearmiss
4255,0,0,"damage to equipment, near miss",,nearmiss
4256,0,0,"instrumentation failure, near miss, reactors and reaction equipment",,nearmiss
4257,0,0,"design or procedure error, human causes, near miss",,nearmiss
4258,0,0,"damage to equipment, near miss",,nearmiss
4259,0,0,spill,,nearmiss
4260,0,0,"loss of control, near miss, damage to equipment, transportation",,nearmiss
4261,0,0,preparation for maintenance,,nearmiss
4262,0,0,"cleaning, entry into confined space, near miss",,nearmiss
4263,0,0,"processing, valve failure, near miss",,nearmiss
4264,0,0,"breathing apparatus, near miss, safety procedures inadequate, entry into confined space",,nearmiss
4265,0,2,"storage, operation inadequate  Fatality.",,nearmiss
4266,0,0,"silo/hopper, unloading, near miss, design or procedure error",,nearmiss
4267,0,0,"near miss, lifting equipment, offshore, human causes, management system inadequate",,nearmiss
4268,0,0,"operator error, design or procedure error, near miss, maintenance",,nearmiss
4269,0,0,"valve failure, near miss",,nearmiss
4270,0,0,"leak, near miss",,nearmiss
4271,0,0,"storage, transportation, road transport, plant / property / equipment, near miss, operator error",,nearmiss
4272,0,0,"maintenance, design or procedure error",,nearmiss
4273,0,0,"operation inadequate, design or procedure error",,nearmiss
4274,0,0,"silo/hopper, near miss, damage to equipment, process causes",,nearmiss
4275,0,0,safety procedures inadequate,,nearmiss
4276,0,0,"offshore, coupling failure, near miss",,nearmiss
4277,0,0,personal protective equipment,,nearmiss
4278,0,0,"mechanical equipment failure, gas / vapour release, near miss, design or procedure error",,nearmiss
4279,1,0,"unloading, leak, explosion / pressure release, near miss, injury",,nearmiss
4280,0,0,"propane, storage, safety relief valve, gas / vapour release, safety releif valve failure, design inadequate, near miss, inspection inadequate",,nearmiss
4281,0,0,"damage to equipment, near miss, design or procedure error",,nearmiss
4282,0,0,"hydrocarbons, shutdown, inspection, cracking, reaction vessel, catalytic cracker, damage to equipment, near miss, thermal expansion, crack, design inadequate",,nearmiss
4283,0,0,"gas oil, maintenance, repair, pump, blowout, near miss, maintenance procedure error",,nearmiss
4284,0,0,,,nearmiss
4285,0,0,"hydrocarbons, coke, start-up, cracking , reactors and reaction equipment, catalytic cracker, plant shutdown, near miss, thermal expansion, crack, design inadequate",,nearmiss
4286,0,0,"maintenance, valve, gate valve, material of construction failure, valve failure, near miss",,nearmiss
4287,0,0,"storage sphere, material of construction failure, near miss",,nearmiss
4288,0,0,"passenger ship, near miss",,nearmiss
4289,0,0,,,nearmiss
4290,0,0,"protective safety equipment, operation inadequate, near miss",,nearmiss
4291,0,0,near miss,,nearmiss
4292,1,0,"testing, near miss, maintenance inadequate, injury",,nearmiss
4293,0,0,"gas / vapour release, management system inadequate",,nearmiss
4294,0,0,"hydrogen sulphide, normal operations, furnace, gas / vapour release, near miss, corrosion, design or procedure error, inspection inadequate",,nearmiss
4295,0,0,"tank failure, near miss, storage equipment",,nearmiss
4296,0,0,"continuous reaction, reactors and reaction equipment, near miss, design inadequate, thermal expansion",,nearmiss
4297,0,0,"maintenance, mechanical handling equipment, plant / property / equipment, operation inadequate, near miss",,nearmiss
4298,1,0,"river barge, unloading, gas / vapour release, near miss",,nearmiss
4299,0,0,"slip plate insertion/removal, maintenance, blind plate/slip plate, near miss, design or procedure error, vent system",,nearmiss
4300,0,0,"damage to equipment, maintenance procedure error, near miss, commissioning",,nearmiss
4301,1,0,"warehousing, near miss, injury",,nearmiss
4302,1,0,"design or procedure error, operator error, near miss, injury",,nearmiss
4303,0,0,near miss,,nearmiss
4304,0,0,"gas / vapour release, gasket failure, near miss",,nearmiss
4305,0,0,"office work,  fire protection equipment, near miss, radio frequency interference",,nearmiss
4306,0,0,"design inadequate, gas / vapour release, near miss, inspection inadequate",,nearmiss
4307,0,0,"high pressure, high temperature",,nearmiss
4308,0,0,"gauge glass failure, reaction vessel",,nearmiss
4309,0,0,"bearing failure, instrumentation failure, operator error",,nearmiss
4310,0,0,"valve failure, near miss",,nearmiss
4311,0,0,"charging reactor, near miss, screw conveyor, shoes",,nearmiss
4312,0,0,"radioactive, near miss, safety procedures inadequate",,nearmiss
4313,0,0,contractor error,,nearmiss
4314,0,0,,,nearmiss
4315,0,0,flow restriction,,nearmiss
4316,0,0,"heating, near miss, testing",,nearmiss
4317,0,0,"excessive vibration, near miss",,nearmiss
4318,0,0,"maintenance procedure error, spill",,nearmiss
4319,0,0,testing,,nearmiss
4320,0,0,"gas / vapour release, near miss",,nearmiss
4321,0,0,near miss,,nearmiss
4322,0,0,"ammonia, unloading, road tanker, near miss, gas / vapour release, joint failure, design inadequate, safety procedures inadequate",,nearmiss
4323,0,0,"hydrocarbon gas, compressor, nozzle, rupture, near miss, excessive vibration, design inadequate, inspection inadequate",,nearmiss
4324,0,0,"hydrocarbon gas, repair, compressor, damage to equipment, near miss, safety equipment failure, maintenance inadequate",,nearmiss
4325,0,0,"methane, venting, start-up, pipe, rupture, near miss, brittle fracture, design inadequate, low temperature",,nearmiss
4326,0,0,"propane, cleaning, compressor, rupture, near miss, slug, safety procedures inadequate",,nearmiss
4327,0,0,"steam, start-up, testing, turbine, damage to equipment, near miss, maintenance procedure error",,nearmiss
4328,0,0,"fuel oil, steam, normal operations, turbine, protective safety equipment, near miss, damage to equipment, inspection inadequate, safety procedures inadequate",,nearmiss
4329,0,0,"gas oil, normal operations, heat tracing, level meter/control, rupture, product loss, near miss, operator error, freezing, design inadequate",,nearmiss
4330,0,0,"hydrogen sulphide, continuous reaction, furnace, gas / vapour release, near miss, corrosion, design inadequate, inspection inadequate, safety procedures inadequate",,nearmiss
4331,2,0,"evacuation, injury",,people
4332,3,1,"fatality, injury",,people
4333,0,0,,,people
4334,75+,1,"fatality, fall, material of construction failure, injury",,"people, plant"
4335,1,0,"maintenance, burns, refrigeration unit, evacuation, injury",,people
4336,100+, -,"material of construction failure, collapse, injury",,"people, plant"
4337,2,1,"fatality, fall, injury",,"people, plant"
4338,33,0,"evacuation, mechanical equipment failure, injury",,people
4339,1,0,"high pressure, explosion / pressure release, injury",,people
4340,0,3,"asphyxiation, maintenance",,people
4341,0,0,drums,,people
4342,0,2,"maintenance, air transport, fatality",,people
4343,5,0,injury,,people
4344,30+,0,"mechanical equipment failure, injury",,people
4345,22,0,"radioactive, people, human causes,  injury",,people
4346,0,0,"evacuation, deliberate acts, explosive",,people
4347,0,0,"mechanical equipment failure, fatality, mechanical handling equipment, management system inadequate",,people
4348,0,20,"lifting equipment, mechanical equipment failure, fatality, fall",,people
4349,4,2,"fire/explosion, plant shutdown, damage to equipment, fatality, injury",,"people, plant"
4350,3,0,injury,,people
4351,0, 39+,"material of construction failure, human causes, fatality",,"people, plant"
4352,0,1,"maintenance, fatality, solids processing equipment, design or procedure error",,people
4353,0,1,"operational activities, fatality, contamination",,people
4354,1,0,"electrical, human causes",,people
4355,1,0,evacuation,,people
4356,0,0,plant shutdown,,plant
4357,0,0,"plant shutdown, human causes, unknown chemicals",,plant
4358,0,0,"contamination, container",,plant
4359,-,0,"bottling plant, people, operation inadequate",,plant
4360,6,0,"mechanical equipment failure, damage to equipment, normal operations",,plant
4361,6,0,"damage to equipment, processing",,plant
4362,0,0,"storage tanks, flow restriction",,plant
4363,0,0,"unwanted chemical reaction, damage to equipment",,plant
4364,0,0,material of construction failure,,plant
4365,0,0,"damage to equipment, material transfer",,plant
4366,0,0,operational activities,,plant
4367,0,0,"electrical, electrical equipment failure, plant shutdown, electrical substation, transformer, utility failure, processing",,plant
4368,0,0,"road transport, damage to equipment, contamination, material transfer",,plant
4369,0,0,"fire - consequence, product loss",,plant
4370,10,0,"reactors and reaction equipment, damage to equipment, reaction, injury",,plant
4371,0,0,"spill, damage to equipment",,plant
4372,25,0,"unwanted chemical reaction, damage to equipment, gas / vapour release, unwanted chemical reaction, processing",,plant
4373,0,0,"processing, pollution",,plant
4374,0,0,pollution,,plant
4375,0,0,"fire - consequence, product loss, processing",,plant
4376,0,0,"fire - consequence, damage to equipment",,plant
4377,3,0,"high pressure, design or procedure error, injury",,plant
4378,170,11,,,plant
4379,0,0,"fire - consequence, damage to equipment",,plant
4380,0,2,fatality,,plant
4381,0,0,fire - consequence,,plant
4382,0,0,contamination,,plant
4383,3,0,"fire - consequence, damage to equipment",,plant
4384,0,6,"explosion, damage to equipment",,plant
4385,0,0,"material transfer, damage to equipment, plant shutdown, unknown chemicals",,plant
4386,0,0,"fire - consequence, damage to equipment, processing",,plant
4387,0,0,"fire - consequence, damage to equipment",,plant
4388,4,0,"fire - consequence, processing",,plant
4389,0,0,damage to equipment,,plant
4390,0,0,"radioactive, evacuation, plant shutdown, processing",,plant
4391,0,0,"damage to equipment, design or procedure error, operational activities",,plant
4392,0,0,,,plant
4393,0,0,"fire - consequence, product loss, processing",,plant
4394,0,0,"fire - consequence, processing, plant shutdown",,plant
4395,0,0,"fire - consequence, damage to equipment, processing",,plant
4396,0,0,fire - consequence,,plant
4397,0,0,"spill, damage to equipment",,plant
4398,-,0,"damage to equipment, rupture, processing, explosive, injury",,plant
4399,0,0,"rupture, damage to equipment",,plant
4400,0,0,"fire - consequence, damage to equipment, design or procedure error, high temperature",,plant
4401,0,5,processing,,plant
4402,0,0,drilling/digging/ploughing vehicles,,plant
4403,0,0,"fire - consequence, solids processing equipment, plant shutdown, flow restriction",,plant
4404,0,0,weather effects,,plant
4405,0,7,,,plant
4406,0,0,"weather effects, damage to equipment",,plant
4407,0,0,"mechanical equipment failure, damage to equipment, processing",,plant
4408,53,3,"product loss, processing",,plant
4409,0,0,spill,,plant
4410,23,1,fire - consequence,,plant
4411,0,0,"fire - consequence, processing",,plant
4412,3,0,"chlorine gas, normal operations, gas / vapour release, plant shutdown, bursting disc failure",,plant
4413,0,0,gas / vapour release,,plant
4414,2,1,,,plant
4415,0,0,fire - consequence,,plant
4416,0,0,,,plant
4417,0,0,fire - consequence,,plant
4418,0,0,"solids processing equipment, explosion, damage to equipment, fire - consequence",,plant
4419,0,0,"processing, plant shutdown",,plant
4420,0,0,processing,,plant
4421,0,0,"damage to equipment, normal operations",,plant
4422,2,0,"separation equipment, fire - consequence, plant shutdown",,plant
4423,0,0,fire - consequence,,plant
4424,0,0,"fire - consequence, processing",,plant
4425,0,0,earth movement,,plant
4426,0,0,,,plant
4427,0,0,"plant shutdown, fire - consequence, processing",,plant
4428,0,0,spill,,plant
4429,0,0,"radioactive release, plant shutdown",,plant
4430,0,0,fire - consequence,,plant
4431,0,0,damage to equipment,,plant
4432,0,0,,,plant
4433,0,0,"solids processing equipment, triacetate, contamination, product loss, damage to equipment",,plant
4434,1,1,processing,,plant
4435,0,0,"sinking, spill, pollution",,transport
4436,0,36,sinking,,transport
4437,0,0,sinking,,transport
4438,0,0,"weather effects, spill, sinking",,transport
4439,0,0,"sinking, weather effects",,transport
4440,0,0,sinking,,transport
4441,8,11,"fire - consequence, collision",,transport
4442,0,0,collision,,transport
4443,0,1,,,transport
4444,0,5,sinking,,transport
4445,0,0,collision,,transport
4446,0,0,"weather effects, sinking",,transport
4447,0,0,sinking,,transport
4448,0,13,"sinking, fire - consequence",,transport
4449,0,5,"weather effects, sinking",,transport
4450,21,3,"fire - consequence, derailment - consequence, injury",,transport
4451,0,5,"sinking, spill, fire - consequence",,transport
4452,0,0,fire - consequence,,transport
4453,0,0,collision,,transport
4454,0,2,"sinking, marine tanker, unknown chemicals",,transport
4455,0,0,"sinking, fire - consequence, pollution",,transport
4456,0,0,,,transport
4457,0,4,sinking,,transport
4458,0,0,,,transport
4459,0,0,"weather effects, derailment - consequence",,transport
4460,0,0,"weather effects, sinking",,transport
4461,0,0,sinking,,transport
4462,8,3,fatality,,transport
4463,0,9,sinking,,transport
4464,0,0,,,transport
4465,-,63,"fatality, sinking, poor visibility, navigation error, weather effects, collision",,transport
4466,0,0,sinking,,transport
4467,0,18,sinking,,transport
4468,0,0,"derailment - consequence, fire - consequence",,transport
4469,0,0,"damage to equipment, collision",,transport
4470,0,0,"weather effects, sinking",,transport
4471,0,4,collision,,transport
4472,0,0,"container ship, sinking,",,transport
4473,0,0,"fire - consequence, derailment - consequence, rail incidents, explosion",,transport
4474,0,0,"sinking, ecological damage, spill, evacuation, gasoline",,transport
4475,0,0,sinking,,transport
4476,0,0,"fire - consequence, sinking",,transport
4477,0,0,"weather effects, sinking",,transport
4478,0,3,"weather effects, sinking",,transport
4479,0,27,"sinking, weather effects, fire - consequence",,transport
4480,0,0,"weather effects, sinking",,transport
4481,0,0,"damage to equipment, collision",,transport
4482,0,0,"fire - consequence, polyvinyl chloride (PVC)",,transport
4483,5,0,,,transport
4484,0,1,sinking,,transport
4485,0,4,sinking,,transport
4486,0,0,"spill, shipping incidents, sinking",,transport
4487,0,0,damage to equipment,,transport
4488,0,0,spill,,transport
4489,0,0,"collision, sinking",,transport
4490,0,29,"gasoline, sinking",,transport
4491,0,0,sinking,,transport
4492,0,0,sinking,,transport
4493,0,0,sinking,,transport
4494,0,0,"spill, sinking",,transport
4495,0,0,"fire - consequence, derailment - consequence, mechanical equipment failure",,transport
4496,0,0,sinking,,transport
4497,38,4,"fire - consequence, collision, brakes faulty, fatality, injury",,transport
4498,-,134,"shipping incidents, passenger ship, sinking, human causes, fatality, unknown chemicals, injury",,transport
4499,275,0,"gas / vapour release, explosion, evacuation, fire - consequence, people",,transport
4500,2,3,"fire - consequence, collision, derailment - consequence, fatality, injury",,transport
4501,0,0,"wheel broken, derailment - consequence, spill",,transport
4502,0,3,sinking,,transport
4503,24,5,fire - consequence,,transport
4504,16,6,"marine transport, explosion, fatality, hot surface, injury",,transport
4505,55,8,"collision, road transport, road transportation, derailment - consequence, fatality, driver error, passenger train",,transport
4506,0,4,collision,,transport
4507,4, 1+,"fire - consequence, spill, environmental , fatality",,transport
4508,0,0,"derailment - consequence, evacuation, rail broken, fire - consequence",,transport
4509,0,0,"derailment - consequence, damage to equipment",,transport
4510,13,9,"damage to equipment, fatality, fire - consequence",,transport
4511,Injured :,2,sinking,,transport
4512,0,0,"collision, spill",,transport
4513,0,0,,,transport
4514,0,0,collision,,transport
4515,0,0,,,transport
4516,1,0,"river transport, collision, explosion, sinking, fire - consequence, damage to equipment, spill, injury",,transport
4517,0,5,sinking,,transport
4518,0,0,sinking,,transport
4519,0,0,"earth movement, derailment - consequence",,transport
4520,0,0,"derailment - consequence, mechanical equipment failure, spill, evacuation",,transport
4521,0,0,"derailment - consequence, material transfer, material of construction failure",,transport
4522,0,84,"instrumentation failure, sinking",,transport
4523,0,0,"pollution, spill, sinking",,transport
4524,0,0,derailment - consequence,,transport
4525,0,0,"collision, fog, damage to equipment",,transport
4526,30,5,"collision, fire - consequence, fatality",,transport
4527,0,0,"damage to equipment, refining",,transport
4528,3,0,"fire - consequence, sinking, damage to equipment, cleaning, injury",,transport
4529,1000,29,"brakes faulty, derailment - consequence, evacuation, gas / vapour release, fatality, injury",,transport
4530,0,0,marine transportation,,transport
4531,6,0,"fire - consequence, tank rupture, derailment - consequence",,transport
4532,22,5,reactors and reaction equipment,,transport
4533,0,0,derailment,,transport
4534,0,0,"derailment - consequence, collision",,transport
4535,0,0,"collision, ecological damage, navigation error, evacuation, spill, gas / vapour release",,transport
4536,0,0,"refining, shipping incidents",,transport
4537,3,0,"weather effects, derailment - consequence, spill",,transport
4538,0,23,"collision, damage to equipment, sinking, fatality",,transport
4539,-,44,"fatality, sinking",,transport
4540,0,0,"sinking, spill",,transport
4541,8,0,"derailment - consequence, gas / vapour release, vapour cloud explosion, fire - consequence, evacuation, collision, methanol",,transport
4542,0,0,"navigation error, collision, human causes, vessel overturned",,transport
4543,0,0,"refining, collision",,transport
4544,0,0,collision,,transport
4545,0,0,"sinking, spill",,transport
4546,6,0,"derailment - consequence, explosion",,transport
4547,7,2,collision,,transport
4548,0,0,"derailment - consequence, evacuation, rail broken, explosion, fire - consequence",,transport
4549,0,0,,,transport
4550,0,1,"sinking, weather effects, fatality",,transport
4551,0,19,"sinking, fatality",,transport
4552,22,2,"derailment - consequence, rail incidents, fatality",,transport
4553,0,0,"unloading, unloading, collision, damage to equipment",,transport
4554,1,0,"ethanol, road tanker, collision, loss of control",,transport
4555,0,0,"derailment - consequence, damage to equipment, operation inadequate, shunting",,transport
4556,0,0,"rail incidents, derailment - consequence",,transport
4557,0,0,"derailment - consequence, collision, rail transport, gas / vapour release",,transport
4558,0,0,,,transport
4559,0,0,,,transport
4560,0,30,"protective safety equipment, safety equipment failure, sinking, fatality",,transport
4561,0,0,"loss of control, brakes faulty, collision",,transport
4562,3,0,"collision, material transfer, gas / vapour release",,transport
4563,-,7,"cleaning, design or procedure error, spark, fatality, sinking",,transport
4564,-,0,"caustic soda, rail tanker, spill, derailment - consequence, ecological damage, brakes faulty, driver error",,transport
4565,6,0,"collision, derailment - consequence, environmental, injury",,transport
4566,235,1,"derailment - consequence, overpressure",,transport
4567,0,0,spill,,transport
4568,8,13,"maintenance inadequate, unloading, pollution, sinking",,transport
4569,0,0,pipe,,transport
4570,0,1,"sinking, weather effects",,transport
4571,0,34,sinking,,transport
4572,0,0,"derailment - consequence, collision",,transport
4573,0,0,"derailment - consequence , damage to equipment",,transport
4574,0,0,"collision, human causes, derailment - consequence",,transport
4575,0,0,derailment - consequence,,transport
4576,66,0,"derailment - consequence, fire - consequence, rail incidents",,transport
4577,0,0,"evacuation, gas / vapour release, derailment - consequence, rail incidents",,transport
4578,53,9,"gas / vapour release, collision, derailment - consequence",,transport
4579,33,2,"derailment - consequence, BLEVE (Boiling Liquid Expanding Vapour Explosion), overpressurisation, wheel broken",,transport
4580,0,0,,,transport
4581,0,0,"spill, fire - consequence, gas / vapour release",,transport
4582,5,0,"derailment - consequence, fire - consequence, pollution, explosion",,transport
4583,0,0,"unloading, road transport, gas / vapour release",,transport
4584,0,10,"collision, navigation error, fire - consequence, sinking, fatality",,transport
4585,0,4,"collision, fire - consequence, fatality",,transport
4586,112,1,fatality,,transport
4587,3+,2,"material of construction failure, fire - consequence, explosion, fatality, collision, loss of control, injury",,transport
4588,0,0,"derailment - consequence, spill",,transport
4589,0,0,"marine tanker, human causes",,transport
4590,0,0,,,transport
4591,130,0,"collision, injury",,transport
4592,0,0,sinking,,transport
4593,0,0,"weather effects, sinking",,transport
4594,0,0,"sinking, weather effects",,transport
4595,0,0,"damage to equipment, weather effects, collision",,transport
4596,0,0,damage to equipment,,transport
4597,0,0,"sinking, product loss, marine tanker",,transport
4598,0,0,,,
4599,2,0,"fire - consequence, processing",,
4600,0,0,"damage to equipment, electrical substation, deliberate acts",,
4601,0,0,processing,,
4602,1,0,"fall, weather effects",,
4603,0,0,fire - consequence,,
4604,0,0,fire - consequence,,
4605,0,0,fire - consequence,,
4606,0,0,"utility failure, damage to equipment, processing",,
4607,6,1,"fire - consequence, fatality",,
4608,0,0,"fire - consequence, damage to equipment",,
4609,1,0,"inspection, electrical switchgear, damage to equipment",,
4610,0,0,,,
4611,0,0,electrical equipment failure,,
4612,0,0,,,
4613,0,0,"fire - consequence, electrical substation",,
4614,0,0,"fire - consequence, refining, electrical substation",,
4615,0,0,"fire - consequence, toxic gas",,
4616,2,0,"electrical switchgear, injury",,
4617,0,0,,,
4618,-,0,"fire - consequence, explosion, evacuation, gas / vapour release, people, electrical equipment failure, polychlorinated biphenyls (PCBs), injury",,
4619,0,0,fire - consequence,,
4620,0,0,fire - consequence,,
4621,0,0,"fire - consequence, electrical equipment failure",,
4622,0,0,damage to equipment,,
4623,0,0,"fire - consequence, contamination",,
4624,0,0,"fire - consequence, refining",,
4625,0,0,"fire - consequence, electrical, electrical equipment failure",,
4626,0,0,"fire - consequence, electrical substation",,
4627,0,0,"reactors and reaction equipment, processing",,
4628,5,0,"repair, trichlorobenzene",,
4629,0,0,"fire - consequence, electrical equipment failure, refining, electrical substation",,
4630,3,1,"fire - consequence, operation inadequate",,
4631,0,0,"control failure, fire - consequence, contamination",,
4632,0,0,fire - consequence,,
4633,0,0,fire - consequence,,
4634,0,0,"electrical switchgear, plant shutdown, human causes, electrical substation",,
4635,0,0,fire - consequence,,
4636,0,0,"bulldozer/jcb/digger, excavation, transportation, damage to equipment, contractor error",,
4637,0,0,fire - consequence,,
4638,0,0,"fire - consequence, refining",,
4639,3,0,"electrical equipment failure, injury",,
4640,1,0,transformer oil,,
4641,0,0,refining,,
4642,0,0,"fire - consequence, processing",,
4643,0,0,"commissioning, transformer, short circuit, design or procedure error, fire - consequence, damage to equipment",,
4644,0,0,"alarm failure, processing, electrical substation, electrical switchgear, plant shutdown, product loss",,
4645,0,0,"loading, ecological damage",,
4646,0,0,"fire - consequence, evacuation",,
4647,0,0,"separation, separator, light, stress, hot surface, fire - consequence, gas / vapour release, damage to equipment",,
4648,0,0,"inspection, compressor, light, tools & access equipment, spark, operation inadequate, fire - consequence",,
4649,0,0,"modification, motor, electrical substation, flashover, labelling incorrect, contractor error, damage to equipment",,
4650,0,0,"road incidents, environmental",,
4651,0,0,"loading, cleaning, bellows, pump motor, pump, mechanical equipment failure, fire - consequence",,
4652,0,3,fatality,,
4653,0,0,"human causes, damage to equipment",,
4654,0,0,"gas / vapour release, corrosion, fire - consequence, refining",,
4655,0,0,"fire - consequence, damage to equipment, product loss, material of construction failure, seal failure, spill, evacuation",,
4656,0,0,"electrical equipment failure, damage to equipment, fire - consequence",,
4657,1,0,"maintenance, injury",,
4658,2,0,"mixing, burns",,
4659,1,1,"fire - consequence, processing",,
4660,1,0,"electrical switch, injury",,
4661,0,0,"refining, ",,
4662,0,0,"mechanical equipment failure, leak, damage to equipment, operational activities",,
4663,0,0,,,
4664,3,0,"lighting, electric shock, inspection, safety procedures inadequate",,
4665,0,0,fire/explosion,,
4666,0,0,"nitrotoluene-o, batch reaction, agitation failure",,
4667,0,0,"silo/hopper, fire - consequence, animal feedstuffs, dust explosion",,
4668,4,0,"operation inadequate, gas / vapour release, fire - consequence, overheating, high pressure, reaction, injury",,
4669,0,0,"storage, pollution",,
4670,0,0,burns,,
4671,0,0,,,
4672,0,0,incorrect equipment installed,,
4673,1,0,"explosion, safety procedures inadequate, injury",,
4674,0,0,damage to equipment,,
4675,0,1,"explosion, entry into confined space",,
4676,1,0,"explosion, operation inadequate, injury",,
4677,0,0,road transportation,,
4678,0,1,"fatality, testing, operation inadequate",,
4679,1,0,"damage to equipment, injury",,
4680,1,0,"operator error, maintenance",,
4681,1,0,repair,,
4682,0,0,"unwanted chemical reaction, battery, gas / vapour release, poisoning",,
4683,0,0,,,
4684,0,0,,,
4685,0,0,,,
4686,0,0,"fire - consequence, design inadequate, damage to equipment",,
4687,0,0,"refrigeration unit, management system inadequate, plant / property / equipment",,
4688,1,0,"material of construction failure, injury",,
4689,13,0,"unwanted chemical reaction, smelting furnace, processing",,
4690,0,0,"mechanical equipment failure, ammonia",,
4691,0,0,"fire - consequence, processing",,
4692,12,5,"burns, gas / vapour release, damage to equipment, fire - consequence, fatality",,
4693,0,0,weather effects,,
4694,0,0,"fire - consequence, gas / vapour release, contamination, gas oil",,
4695,1,0,fire - consequence,,
4696,7,10,"high pressure, high temperature, fire - consequence, fatality",,
4697,0,0,fire - consequence,,
4698,0,0,,,
4699,7,0,"fire - consequence, processing",,
4700,0,0,"refining, fire - consequence, damage to equipment, cracking",,
4701,2,1,,,
4702,0,0,,,
4703,14,0,fire - consequence,,
4704,25,5,,,
4705,0,0,fire - consequence,,
4706,0,0,damage to equipment,,
4707,0,0,damage to equipment,,
4708,0,0,"fire - consequence, damage to equipment",,
4709,0,0,"damage to equipment, fire - consequence,",,
4710,2,0,"processing, gas / vapour release, material of construction failure, injury",,
4711,0,0,"unwanted chemical reaction, purification, cryogenic purifier, adsorption, separation",,
4712,0,0,,,
4713,0,0,gas / vapour release,,
4714,0,0,"fire - consequence, smelting furnace",,
4715,0,0,fire - consequence,,
4716,0,0,"fire - consequence, heat exchanger, refining",,
4717,1,0,"operation inadequate, management system inadequate, injury",,
4718,0,0,"storage tanks, environmental",,
4719,0,0,,,
4720,0,2,"evacuation, gas / vapour release, hot surface, fatality, damage to equipment, cleaning, storage",,
4721,0,0,"testing, coupling failure, damage to equipment, design or procedure error",,
4722,0,0,"separation, high temperature, damage to equipment",,
4723,0,0,"leak, gas / vapour release",,
4724,0,0,"torch, fire - consequence, design or procedure error, maintenance",,
4725,0,0,"human causes, processing, spray drier",,
4726,0,0,"fire - consequence, damage to equipment",,
4727,0,0,"fire - consequence, heating equipment",,
4728,0,0,fire - consequence,,
4729,0,0,"plant shutdown, heating",,
4730,8,0,damage to equipment,,
4731,0,0,"fire - consequence, human causes",,
4732,0,0,damage to equipment,,
4733,0,0,cracking,,
4734,0,0,"fire - consequence, pipeline failure",,
4735,20,0,"processing, heating, road transport, design or procedure error, gasoline, injury",,
4736,24,0,,,
4737,0,0,fire - consequence,,
4738,0,0,"fire - consequence, damage to equipment, gas / vapour release",,
4739,0,0,"fire - consequence, damage to equipment, maintenance",,
4740,0,0,"fire - consequence, heating",,
